Source Question IDs,Source Question Text,Destination Table Name,Destination Column Name,Notes,,General Notes,,
1027,Who referred you to mentor2.0 Milwaukee?,None,None,,,,,
"79, 206, 380, 515, 657, 806, 934, 1069, 1195, 1321, 1453, 1588, 1714, 1848",Second Reference Name,None,None,,,,,
"337, 339, 593, 611, 613, 1029, 1410, 1412, 1548",Please describe,None,None,,,,,
1901,In which athletic/sports programs do you plan to participate next year? Include all organized athletic/sports programs both in school and out of school.,None,None,,,,,
609,Please enter the state and number here.,None,None,,,,,
1900,In which athletic/sports programs do you currently participate? Include all organized athletic/sports programs both in school and outside of school.,None,None,,,,,
1810,Are you metro accessible? (home and/or work),None,None,,,,,
"32, 159, 327, 465, 596, 753, 892, 1023, 1151, 1279, 1401, 1539, 1668, 1794",What was the highest level of education that you completed?,None,None,,,,,
"132, 295, 360, 433, 495, 569, 637, 719, 786, 860, 918, 995, 1049, 1121, 1175, 1249, 1301, 1373, 1433, 1506, 1568, 1643, 1767, 1828, 1935, 186, 57, 1692",Please tell us a little bit about yourself that we couldn't learn from the previous questions. What else do you think we should know in order to find you the best possible match? Tell us what makes you different from everyone else!,None,None,,,,,
1914,Complete the sentence: “I am best when...”,None,None,,,,,
"55, 358, 493, 635, 784, 916, 1047, 1173, 1299, 1431, 1566, 1690, 1826, 184","Many mentees express a preference for a mentor who is experienced in handling the many challenges that teenagers face today. Of the following list of potential challenges, with which ones do you have experience? (Check all that apply)",None,None,,,,,
"78, 204, 378, 513, 655, 804, 933, 1067, 1193, 1319, 1451, 1586, 1713, 1847",First Reference: What is your relationship to this person?,None,None,,,,,
1910,Complete the sentence: “My happiest time...”,None,None,,,,,
274,"What do you know about standardized tests that are mandatory for college acceptance? (SAT, ACT, etc.)",None,None,,,,,
"67, 1702, 1840",Please provide us with 2-3 sentences of your personal definition of physical abuse.,None,None,,,,,
618,List all the people living in your home who are over the age of 21,None,None,,,,,
1887,What type of experience do you think participating in Capital Partners for Education (CPE) is going to be for you?,None,None,,,,,
1350,"Before mentor2.0 Greater Pittsburgh, had you ever been matched with a mentor through another program?",None,None,,,,,
900,"Are you, or have you been, engaged as part of the United States military in any form?",None,None,,,,,
143,Can mentor2.0 @ Godby HS send you text message reminders to help you complete the application and screening process? We will never share your contact information with third parties.,None,None,,,,,
247,"For how many years have you lived in the United States? (you can make a best guess"" if you don't know)""",None,None,,,,,
1891,Please tell us who you live with.,None,None,,,,,
"336, 612, 1411",Do you anticipate any significant life changes over the next year or had any in this past year?,None,None,,,,,
"64, 193, 367, 502, 644, 793, 925, 1056, 1182, 1308, 1440, 1575, 1699, 1837",Please explain and include the name of the organization.,None,None,,,,,
1535,How many mentees have you been matched with through the Big Brothers Big Sisters Program?,None,None,,,,,
1803,Please be specific about how you heard about Capital Partners for Education (i.e. Niki Irish; YEP-DC Listserv; Greater DC Care's Deloitte; etc.),None,None,,,,,
1890,Who do you currently live with? (Please check all that apply),None,None,,,,,
835,"Before mentor2.0 Denver, had you ever been matched with a mentor through another program?",None,None,,,,,
"126, 289, 427, 563, 713, 854, 989, 1115, 1243, 1367, 1500, 1637, 1761, 1929",In which of the following academic subjects would you want your mentor to be able to help you? (Check all that apply),None,None,,,,,
"268, 698, 1896","How often does someone help you with your schoolwork? (Family members, friends, tutors, school employees, etc.)",None,None,,,,,
11,Can iMentor NYC send you text message reminders to help you complete the application and screening process? We will never share your contact information with third parties.,None,None,,,,,
1904,"What are your top 3 talents, hobbies and/or interests?",None,None,,,,,
978,Have you ever been involved with the police or juvenile justice system?,None,None,,,,,
1905,"On a scale of 1 to 10, how much do you know about the career options available to you? Assume that 1 means you do not know anything about the career options available to you, and 10 means you know everything there is to know about the career options availa (...)",None,None,,,,,
"110, 243, 411, 546, 837, 1226, 1352, 1484, 1619, 1745",Were both of your parents born in the United States?,None,None,,,,,
970,Do you have siblings?,None,None,,,,,
249,Do you have siblings (brothers or sisters)?,None,None,,,,,
"111, 245, 412, 547, 838, 1100, 1227, 1353, 1485, 1621, 1746",Were you born in the United States?,None,None,,,,,
1801,Do you belong to any clubs or groups? (Select all that apply),None,None,,,,,
"271, 700",How much do you know about colleges and what it takes to get accepted to the colleges you want to go to?,None,None,,,,,
"344, 1417",Is there anything else you'd like to tell us about yourself or any questions that you have?,None,None,,,,,
702,"Do you have access to a computer, phone or another device at home with internet access that you can use?",None,None,,,,,
"325, 463, 603, 751, 889, 1278, 1537",Have you ever been involved with Big Brothers Big Sisters in any capacity other than as a mentor?,None,None,,,,,
263,How often do you write emails?,None,None,,,,,
108,"Before iMentor NYC, had you ever been matched with a mentor through another program?",None,None,,,,,
167,Would you be willing to leave work early once every six weeks?,None,None,,,,,
"75, 201, 375, 510, 652, 801, 930, 1064, 1190, 1316, 1448, 1583, 1710, 1844",First Reference Name,None,None,,,,,
1415,Are there other people living in your household?,None,None,,,,,
1893,How many do you have?,None,None,,,,,
967,Which faith or religion do you most closely align with?,None,None,,,,,
"8, 10, 91, 93, 99, 140, 142, 224, 226, 232, 303, 305, 393, 395, 401, 441, 443, 528, 530, 536, 577, 579, 675, 677, 683, 727, 729, 819, 821, 827, 868, 870, 946, 948, 954, 1003, 1005, 1082, 1084, 1090, 1129, 1131, 1208, 1210, 1216, 1257, 1259, 1334, 1336, 134 (...)",Is this a cell phone?,None,None,"We have no flag in iuser_user for cell phones, only a column named cell_phone. We should restructure iuser_user to have a flag next to phone_1, phone_2, etc., so that we know which number is a cell phone number, which will be helpful for text message reminders.",,,,
1811,Is there any reason you may not be able to meet the expectations for this mentoring relationship?,None,None,,,,,
1880,"Before Capital Partners for Education, had you ever been matched with a mentor through another program?",None,None,,,,,
"125, 288, 426, 562, 712, 853, 988, 1114, 1242, 1366, 1499, 1636, 1760, 1928",Which of the following experiences would you like your mentor to have experienced in high school? (Check all that apply),None,None,,,,,
252,Does your father/male guardian work?,None,None,,,,,
1517,Can mentor2.0 Will & Grundy send you text message reminders to help you complete the application and screening process? We will never share your contact information with third parties.,None,None,,,,,
240,"Before mentor2.0 @ Godby HS, had you ever been matched with a mentor through another program?",None,None,,,,,
1384,Can mentor2.0 Utah send you text message reminders to help you complete the application and screening process? We will never share your contact information with third parties.,None,None,,,,,
977,Has your parent or guardian ever been contacted by an attendance officer of the school district about your unexcused absences?,None,None,,,,,
1902,"Have you ever participated in an academic or extracurricular program outside of what was required for school? (Example: Higher Achievement Program, Tutoring, Summer Enrichment Camp, Writing Club, Church, etc.)",None,None,,,,,
"326, 464, 604, 752, 890, 1538",Please write in the agency name or location and type of involvement here. ,None,None,,,,,
1894,What are their ages?,None,None,,,,,
